t_s,ax,ay,az,gx,gy,gz,led
1.268803,0.4549,-0.9577,2.7438,-0.9092,1.1277,-0.0999,0
1.272637,0.4501,-1.0439,2.6576,-0.9084,1.0864,-0.1316,0
1.277589,-0.1772,-1.0487,2.5618,-0.9044,1.0645,-0.1439,0
1.281470,-0.5602,-1.2402,2.6719,-0.9033,1.0464,-0.1625,0
1.284861,-0.9433,-1.2402,2.8730,-0.8860,1.0379,-0.1719,0
1.289624,-1.0247,-0.9720,2.9113,-0.8828,1.0240,-0.1673,0
1.293613,-0.9098,-1.1301,3.3327,-0.8825,0.9984,-0.1567,0
1.296986,-1.0056,-1.3072,3.5003,-0.8708,0.9785,-0.1399,0
1.300226,-1.5227,-1.2402,3.4141,-0.8695,0.9691,-0.1114,0
1.303656,-1.7142,-1.2115,3.3088,-0.8676,0.9438,-0.0645,0
1.308126,-1.7765,-1.5610,3.6775,-0.8655,0.9108,0.0099,0
1.313821,-1.7142,-1.8100,3.6583,-0.8695,0.8974,0.0485,0
1.317574,-1.8531,-1.8387,3.6200,-0.8716,0.8767,0.0999,0
1.322039,-1.7765,-2.1261,4.1037,-0.8831,0.8639,0.1575,0
1.327720,-1.6472,-1.9824,4.5250,-0.8799,0.8633,0.1716,0
1.331416,-1.4461,-1.5945,4.8554,-0.8761,0.8577,0.1892,0
1.334736,-1.1588,-1.3312,5.3582,-0.8644,0.8450,0.2028,0
1.338997,-1.3695,-0.9960,6.2824,-0.8218,0.8450,0.2188,0
1.345181,-2.0830,-0.6416,6.6607,-0.7767,0.8559,0.2270,0
1.349293,-2.0446,-0.5602,7.0006,-0.7416,0.8743,0.2372,0
1.353777,-1.8818,-0.6177,7.5130,-0.6646,0.9049,0.2244,0
1.359745,-1.6281,-0.4645,7.8578,-0.6051,0.9268,0.2134,0
1.363607,-1.7142,-0.5411,7.9152,-0.5590,0.9590,0.1929,0
1.366822,-1.8196,-0.7566,8.3031,-0.5284,0.9808,0.1823,0
1.370602,-1.8100,-0.9720,8.3606,-0.4596,1.0198,0.1615,0
1.374807,-1.3695,-1.0726,8.2839,-0.3896,1.0475,0.1476,0
1.380630,-1.0247,-1.4126,8.2744,-0.3365,1.0507,0.1415,0
1.384489,-1.1396,-1.6041,8.3175,-0.2771,1.0469,0.1394,0
1.388582,-0.7566,-1.4174,8.0158,-0.2180,1.0331,0.1415,0
1.394492,-0.4501,-1.3503,7.9440,-0.1668,1.0072,0.1391,0
1.398194,0.0862,-1.1684,7.9440,-0.1348,0.9880,0.1338,0
1.401310,0.5602,-0.8332,7.8626,-0.0719,0.9443,0.1156,0
1.405340,0.9002,-0.2203,7.8482,0.0035,0.8772,0.0925,0
1.410299,1.2163,0.2969,7.9200,0.0605,0.8255,0.0821,0
1.414095,1.0774,0.3926,7.7907,0.1220,0.7850,0.0738,0
1.417814,0.4597,0.5602,7.8578,0.2233,0.6960,0.0685,0
1.424042,0.9625,0.8811,8.1690,0.2910,0.6334,0.0541,0
1.427919,0.8763,1.1588,8.3127,0.3555,0.5918,0.0397,0
1.431152,1.1205,1.4317,8.2456,0.4154,0.5510,0.0229,0
1.434570,1.5275,1.6424,8.1499,0.4711,0.5217,-0.0005,0
1.437691,1.6520,1.6089,8.1690,0.5359,0.4826,-0.0338,0
1.441148,2.2553,1.3024,7.9296,0.6390,0.4026,-0.0829,0
1.446047,2.6432,1.4653,7.5944,0.7093,0.3216,-0.1188,0
1.450138,2.2170,1.3647,7.9679,0.7701,0.2545,-0.1420,0
